2862,CHO_Auth_20190320230356.XML,A118600940,YES
2861,CHO_Auth_20190320230356.XML,W020759851,YES
2860,CHO_Auth_20190320230356.XML,A118432551,YES
2859,CHO_Auth_20190320230356.XML,A118134993,YES
2858,CHO_Auth_20190320230356.XML,A118343294,YES
2857,CHO_Auth_20190320230356.XML,W020692529,YES
2856,AUTH_IB_RQST_20190320880434.xml,O190315042,YES
2855,AUTH_IB_RQST_20190320880422.xml,O190314057,YES
2854,AUTH_IB_RQST_20190320880419.xml,O190314080,YES
2853,AUTH_IB_RQST_20190320880357.xml,O190319058,YES
2852,AUTH_IB_RQST_20190320880270.xml,A171205013,YES
2851,AUTH_IB_RQST_20190320880265.xml,A190211014,YES
2850,AUTH_IB_RQST_20190320880263.xml,A190304002,YES
2849,AUTH_IB_RQST_20190320880256.xml,A190311008,YES
2848,AUTH_IB_RQST_20190320880247.xml,O190304052,YES
2847,AUTH_IB_RQST_20190320880239.xml,O190305094,YES
2846,AUTH_IB_RQST_20190320880235.xml,O190306049,YES
2845,AUTH_IB_RQST_20190320880232.xml,O190307054,YES
2844,AUTH_IB_RQST_20190320880229.xml,O190314018,YES
2843,AUTH_IB_RQST_20190320880227.xml,O190307062,YES
2842,AUTH_IB_RQST_20190320880212.xml,O190205035,YES
2841,AUTH_IB_RQST_20190320880209.xml,O190213053,YES
2840,AUTH_IB_RQST_20190320880203.xml,O190214004,YES
2839,AUTH_IB_RQST_20190320880184.xml,O190226057,YES
2838,AUTH_IB_RQST_20190320880172.xml,O181113034,YES
2837,AUTH_IB_RQST_20190320880158.xml,O190103039,YES
2836,AUTH_IB_RQST_20190320880155.xml,O190109020,YES
2835,AUTH_IB_RQST_20190320880149.xml,O190123052,YES
2834,AUTH_IB_RQST_20190320880142.xml,O190204026,YES
2833,AUTH_IB_RQST_20190320880140.xml,O190129034,YES
2832,AUTH_IB_RQST_20190320880137.xml,O180409044,YES
2831,AUTH_IB_RQST_20190320880131.xml,O180919037,YES
2830,AUTH_IB_RQST_20190320880128.xml,O180927015,YES
2829,AUTH_IB_RQST_20190320880125.xml,O181011022,YES
2828,AUTH_IB_RQST_20190320880120.xml,O181106045,YES
